"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"TP7"	-3.372469	"Black_eyes"	4	"Black"	"eyes"
"TP8"	-0.981714	"Black_eyes"	4	"Black"	"eyes"
"P7/T5"	-4.959187	"Black_eyes"	4	"Black"	"eyes"
"VEOG"	12.169372	"Black_eyes"	4	"Black"	"eyes"
"HEOG"	-0.886698	"Black_eyes"	4	"Black"	"eyes"
"Nose"	2.457108	"Black_eyes"	4	"Black"	"eyes"
"FZ"	1.382094	"Black_fore"	4	"Black"	"fore"
"FC3"	1.576865	"Black_fore"	4	"Black"	"fore"
"FCZ"	2.763331	"Black_fore"	4	"Black"	"fore"
"FC4"	0.82944	"Black_fore"	4	"Black"	"fore"
"C3"	1.162175	"Black_fore"	4	"Black"	"fore"
"CZ"	2.426277	"Black_fore"	4	"Black"	"fore"
"C4"	0.787723	"Black_fore"	4	"Black"	"fore"
"CP3"	0.264063	"Black_fore"	4	"Black"	"fore"
"CPZ"	1.429197	"Black_fore"	4	"Black"	"fore"
"CP4"	0.10814	"Black_fore"	4	"Black"	"fore"
"P3"	-0.124324	"Black_fore"	4	"Black"	"fore"
"PZ"	0.826511	"Black_fore"	4	"Black"	"fore"
"P4"	-0.125774	"Black_fore"	4	"Black"	"fore"
"OZ"	-3.939826	"Black_fore"	4	"Black"	"fore"
"FP1"	-2.193398	"Black_fore"	4	"Black"	"fore"
"FP2"	-1.102705	"Black_fore"	4	"Black"	"fore"
"A2"	3.626707	"Black_fore"	4	"Black"	"fore"
"P8/T6"	-3.23184	"Black_fore"	4	"Black"	"fore"
"TP7"	-2.868335	"Black_fore"	4	"Black"	"fore"
"TP8"	-1.646602	"Black_fore"	4	"Black"	"fore"
"P7/T5"	-3.351578	"Black_fore"	4	"Black"	"fore"
"VEOG"	8.727465	"Black_fore"	4	"Black"	"fore"
"HEOG"	-1.381177	"Black_fore"	4	"Black"	"fore"
"Nose"	0.360694	"Black_fore"	4	"Black"	"fore"
"FZ"	0.983243	"White_eyes"	4	"White"	"eyes"
"FC3"	1.277952	"White_eyes"	4	"White"	"eyes"
"FCZ"	2.228842	"White_eyes"	4	"White"	"eyes"
"FC4"	1.486899	"White_eyes"	4	"White"	"eyes"
"C3"	1.233724	"White_eyes"	4	"White"	"eyes"
"CZ"	2.928381	"White_eyes"	4	"White"	"eyes"
"C4"	1.822273	"White_eyes"	4	"White"	"eyes"
"CP3"	0.638947	"White_eyes"	4	"White"	"eyes"
"CPZ"	2.690963	"White_eyes"	4	"White"	"eyes"
"CP4"	1.52991	"White_eyes"	4	"White"	"eyes"
"P3"	-0.449725	"White_eyes"	4	"White"	"eyes"
"PZ"	1.877855	"White_eyes"	4	"White"	"eyes"
"P4"	1.015624	"White_eyes"	4	"White"	"eyes"
"OZ"	3.155257	"White_eyes"	4	"White"	"eyes"
"FP1"	0.925372	"White_eyes"	4	"White"	"eyes"
"FP2"	1.121662	"White_eyes"	4	"White"	"eyes"
"A2"	3.05591	"White_eyes"	4	"White"	"eyes"
"P8/T6"	-1.560728	"White_eyes"	4	"White"	"eyes"
"TP7"	-3.473543	"White_eyes"	4	"White"	"eyes"
"TP8"	-0.524307	"White_eyes"	4	"White"	"eyes"
"P7/T5"	-4.548544	"White_eyes"	4	"White"	"eyes"
"VEOG"	6.117787	"White_eyes"	4	"White"	"eyes"
"HEOG"	2.256329	"White_eyes"	4	"White"	"eyes"
"Nose"	-1.070598	"White_eyes"	4	"White"	"eyes"
"FZ"	2.835233	"White_fore"	4	"White"	"fore"
"FC3"	2.261906	"White_fore"	4	"White"	"fore"
"FCZ"	3.597113	"White_fore"	4	"White"	"fore"
"FC4"	2.430406	"White_fore"	4	"White"	"fore"
"C3"	2.161886	"White_fore"	4	"White"	"fore"
"CZ"	3.180075	"White_fore"	4	"White"	"fore"
"C4"	2.531699	"White_fore"	4	"White"	"fore"
"CP3"	1.468177	"White_fore"	4	"White"	"fore"
"CPZ"	2.723966	"White_fore"	4	"White"	"fore"
"CP4"	2.095951	"White_fore"	4	"White"	"fore"
"P3"	1.255342	"White_fore"	4	"White"	"fore"
"PZ"	2.197347	"White_fore"	4	"White"	"fore"
"P4"	1.780069	"White_fore"	4	"White"	"fore"
"OZ"	-1.60242	"White_fore"	4	"White"	"fore"
"FP1"	1.635404	"White_fore"	4	"White"	"fore"
"FP2"	0.138921	"White_fore"	4	"White"	"fore"
"A2"	-2.669003	"White_fore"	4	"White"	"fore"
"P8/T6"	0.936502	"White_fore"	4	"White"	"fore"
"TP7"	-0.309828	"White_fore"	4	"White"	"fore"
"TP8"	1.114323	"White_fore"	4	"White"	"fore"
"P7/T5"	-0.822483	"White_fore"	4	"White"	"fore"
"VEOG"	8.934293	"White_fore"	4	"White"	"fore"
"HEOG"	2.089966	"White_fore"	4	"White"	"fore"
"Nose"	2.521312	"White_fore"	4	"White"	"fore"
"FZ"	4.48721	"Black_eyes"	5	"Black"	"eyes"
"FC3"	3.884362	"Black_eyes"	5	"Black"	"eyes"
"FCZ"	4.562928	"Black_eyes"	5	"Black"	"eyes"
"FC4"	4.606028	"Black_eyes"	5	"Black"	"eyes"
"C3"	3.881686	"Black_eyes"	5	"Black"	"eyes"
"CZ"	4.568331	"Black_eyes"	5	"Black"	"eyes"
"C4"	4.986047	"Black_eyes"	5	"Black"	"eyes"
"CP3"	2.759364	"Black_eyes"	5	"Black"	"eyes"
"CPZ"	4.267858	"Black_eyes"	5	"Black"	"eyes"
"CP4"	4.643975	"Black_eyes"	5	"Black"	"eyes"
"P3"	1.912577	"Black_eyes"	5	"Black"	"eyes"
"PZ"	3.060463	"Black_eyes"	5	"Black"	"eyes"
"P4"	3.632167	"Black_eyes"	5	"Black"	"eyes"
"OZ"	4.987473	"Black_eyes"	5	"Black"	"eyes"
"FP1"	4.559651	"Black_eyes"	5	"Black"	"eyes"
"FP2"	3.161371	"Black_eyes"	5	"Black"	"eyes"
"A2"	-0.323186	"Black_eyes"	5	"Black"	"eyes"
"P8/T6"	2.434802	"Black_eyes"	5	"Black"	"eyes"
"TP7"	1.240965	"Black_eyes"	5	"Black"	"eyes"
"TP8"	3.009609	"Black_eyes"	5	"Black"	"eyes"
"P7/T5"	0.019987	"Black_eyes"	5	"Black"	"eyes"
"VEOG"	5.421873	"Black_eyes"	5	"Black"	"eyes"
"HEOG"	-0.16467	"Black_eyes"	5	"Black"	"eyes"
"Nose"	2.110841	"Black_eyes"	5	"Black"	"eyes"
"FZ"	5.887276	"Black_fore"	5	"Black"	"fore"
"FC3"	5.676173	"Black_fore"	5	"Black"	"fore"
"FCZ"	5.851902	"Black_fore"	5	"Black"	"fore"
"FC4"	5.603194	"Black_fore"	5	"Black"	"fore"
"C3"	4.596634	"Black_fore"	5	"Black"	"fore"
"CZ"	5.163535	"Black_fore"	5	"Black"	"fore"
"C4"	5.153024	"Black_fore"	5	"Black"	"fore"
"CP3"	3.09536	"Black_fore"	5	"Black"	"fore"
"CPZ"	3.823488	"Black_fore"	5	"Black"	"fore"
"CP4"	4.386844	"Black_fore"	5	"Black"	"fore"
"P3"	1.449961	"Black_fore"	5	"Black"	"fore"
"PZ"	1.94832	"Black_fore"	5	"Black"	"fore"
"P4"	2.767673	"Black_fore"	5	"Black"	"fore"
"OZ"	8.310877	"Black_fore"	5	"Black"	"fore"
"FP1"	4.41317	"Black_fore"	5	"Black"	"fore"
"FP2"	4.009828	"Black_fore"	5	"Black"	"fore"
"A2"	0.177961	"Black_fore"	5	"Black"	"fore"
"P8/T6"	1.652934	"Black_fore"	5	"Black"	"fore"
"TP7"	2.071373	"Black_fore"	5	"Black"	"fore"
"TP8"	2.724391	"Black_fore"	5	"Black"	"fore"
"P7/T5"	0.012419	"Black_fore"	5	"Black"	"fore"
"VEOG"	15.58173	"Black_fore"	5	"Black"	"fore"
"HEOG"	-0.892381	"Black_fore"	5	"Black"	"fore"
"Nose"	3.753137	"Black_fore"	5	"Black"	"fore"
"FZ"	2.897706	"White_eyes"	5	"White"	"eyes"
"FC3"	2.49698	"White_eyes"	5	"White"	"eyes"
"FCZ"	3.449052	"White_eyes"	5	"White"	"eyes"
"FC4"	3.215191	"White_eyes"	5	"White"	"eyes"
"C3"	2.987958	"White_eyes"	5	"White"	"eyes"
"CZ"	3.228758	"White_eyes"	5	"White"	"eyes"
"C4"	3.314081	"White_eyes"	5	"White"	"eyes"
"CP3"	2.58393	"White_eyes"	5	"White"	"eyes"
