"Subject"	"Bin"	"Electrode"	"Condition"	"MeanAmp"	"Race"	"Fix"
1	7	"C4"	"Black_eyes"	7.11250196078431	"Black"	"eyes"
1	7	"CP3"	"Black_eyes"	11.1099656862745	"Black"	"eyes"
1	7	"CP4"	"Black_eyes"	8.66960931372549	"Black"	"eyes"
1	8	"CZ"	"Black_eyes"	8.82552745098039	"Black"	"eyes"
1	8	"CPZ"	"Black_eyes"	9.4175137254902	"Black"	"eyes"
1	8	"PZ"	"Black_eyes"	8.85926078431373	"Black"	"eyes"
1	8	"C3"	"Black_eyes"	7.72423995098039	"Black"	"eyes"
1	8	"C4"	"Black_eyes"	7.61110539215686	"Black"	"eyes"
1	8	"CP3"	"Black_eyes"	11.3942392156863	"Black"	"eyes"
1	8	"CP4"	"Black_eyes"	6.48801299019608	"Black"	"eyes"
1	9	"CZ"	"Black_eyes"	7.66705490196078	"Black"	"eyes"
1	9	"CPZ"	"Black_eyes"	8.42688946078431	"Black"	"eyes"
1	9	"PZ"	"Black_eyes"	7.15405220588235	"Black"	"eyes"
1	9	"C3"	"Black_eyes"	5.09258504901961	"Black"	"eyes"
1	9	"C4"	"Black_eyes"	4.70834485294118	"Black"	"eyes"
1	9	"CP3"	"Black_eyes"	1.16299534313725	"Black"	"eyes"
1	9	"CP4"	"Black_eyes"	2.85874166666667	"Black"	"eyes"
1	10	"CZ"	"Black_eyes"	2.95500661764706	"Black"	"eyes"
1	10	"CPZ"	"Black_eyes"	3.66259411764706	"Black"	"eyes"
1	10	"PZ"	"Black_eyes"	3.05044901960784	"Black"	"eyes"
1	10	"C3"	"Black_eyes"	3.57990416666667	"Black"	"eyes"
1	10	"C4"	"Black_eyes"	1.68299411764706	"Black"	"eyes"
1	10	"CP3"	"Black_eyes"	4.40556470588235	"Black"	"eyes"
1	10	"CP4"	"Black_eyes"	0.470220098039216	"Black"	"eyes"
1	11	"CZ"	"Black_eyes"	-6.11447426470588	"Black"	"eyes"
1	11	"CPZ"	"Black_eyes"	-5.5335931372549	"Black"	"eyes"
1	11	"PZ"	"Black_eyes"	-3.91518848039216	"Black"	"eyes"
1	11	"C3"	"Black_eyes"	-0.936320343137255	"Black"	"eyes"
1	11	"C4"	"Black_eyes"	-2.48190833333333	"Black"	"eyes"
1	11	"CP3"	"Black_eyes"	-2.73038799019608	"Black"	"eyes"
1	11	"CP4"	"Black_eyes"	-2.73573504901961	"Black"	"eyes"
1	12	"CZ"	"Black_eyes"	5.17650612745098	"Black"	"eyes"
1	12	"CPZ"	"Black_eyes"	5.37273823529412	"Black"	"eyes"
1	12	"PZ"	"Black_eyes"	4.53679558823529	"Black"	"eyes"
1	12	"C3"	"Black_eyes"	2.33093039215686	"Black"	"eyes"
1	12	"C4"	"Black_eyes"	2.0129237745098	"Black"	"eyes"
1	12	"CP3"	"Black_eyes"	2.38770073529412	"Black"	"eyes"
1	12	"CP4"	"Black_eyes"	3.09899362745098	"Black"	"eyes"
1	13	"CZ"	"Black_eyes"	7.16927230392157	"Black"	"eyes"
1	13	"CPZ"	"Black_eyes"	8.45939191176471	"Black"	"eyes"
1	13	"PZ"	"Black_eyes"	7.57778357843137	"Black"	"eyes"
1	13	"C3"	"Black_eyes"	4.28543700980392	"Black"	"eyes"
1	13	"C4"	"Black_eyes"	6.65544926470588	"Black"	"eyes"
1	13	"CP3"	"Black_eyes"	4.34097279411765	"Black"	"eyes"
1	13	"CP4"	"Black_eyes"	7.71477549019608	"Black"	"eyes"
1	1	"CZ"	"White_forehead"	8.9760931372549	"White"	"forehead"
1	1	"CPZ"	"White_forehead"	10.7092764705882	"White"	"forehead"
1	1	"PZ"	"White_forehead"	9.2871068627451	"White"	"forehead"
1	1	"C3"	"White_forehead"	11.0350970588235	"White"	"forehead"
1	1	"C4"	"White_forehead"	9.21593553921569	"White"	"forehead"
1	1	"CP3"	"White_forehead"	11.0536056372549	"White"	"forehead"
1	1	"CP4"	"White_forehead"	10.2867776960784	"White"	"forehead"
1	2	"CZ"	"White_forehead"	2.19681789215686	"White"	"forehead"
1	2	"CPZ"	"White_forehead"	0.719106617647059	"White"	"forehead"
1	2	"PZ"	"White_forehead"	0.557841666666667	"White"	"forehead"
1	2	"C3"	"White_forehead"	1.72166225490196	"White"	"forehead"
1	2	"C4"	"White_forehead"	-3.37133308823529	"White"	"forehead"
1	2	"CP3"	"White_forehead"	1.1778056372549	"White"	"forehead"
1	2	"CP4"	"White_forehead"	-2.99450049019608	"White"	"forehead"
1	3	"CZ"	"White_forehead"	5.42457720588235	"White"	"forehead"
1	3	"CPZ"	"White_forehead"	7.88591225490196	"White"	"forehead"
