"Race"	"Fix"	"rescaleTrial"	"MeanAmp"	"plo"	"phi"	"Condition"
"White"	"forehead"	189	19.6576033814182	14.5737602813527	24.7414464814838	"White, forehead"
"Black"	"eyes"	190	33.5085712892208	28.3601665621451	38.6569760162965	"Black, eyes"
"White"	"eyes"	190	20.2868462313604	15.1902284831029	25.3834639796179	"White, eyes"
"Black"	"forehead"	190	20.1459651309925	15.0260874841082	25.2658427778769	"Black, forehead"
"White"	"forehead"	190	19.7605454003529	14.6495188490039	24.871571951702	"White, forehead"
"Black"	"eyes"	191	33.6802597055988	28.5045347446798	38.8559846665178	"Black, eyes"
"White"	"eyes"	191	20.39138432087	15.2676725607941	25.5150960809459	"White, eyes"
"Black"	"forehead"	191	20.2475641943732	15.100416894601	25.3947114941453	"Black, forehead"
"White"	"forehead"	191	19.8634874192877	14.7252751469429	25.0016996916324	"White, forehead"
"Black"	"eyes"	192	33.8519481219769	28.6489003161517	39.054995927802	"Black, eyes"
"White"	"eyes"	192	20.4959224103795	15.3451142942727	25.6467305264863	"White, eyes"
"Black"	"forehead"	192	20.3491632577538	15.174744231698	25.5235822838095	"Black, forehead"
"White"	"forehead"	192	19.9664294382224	14.8010292110064	25.1318296654383	"White, forehead"
"Black"	"eyes"	193	34.0236365383549	28.7932633174803	39.2540097592295	"Black, eyes"
"White"	"eyes"	193	20.600460499889	15.4225537203412	25.7783672794369	"White, eyes"
"Black"	"forehead"	193	20.4507623211344	15.2490695280107	25.652455114258	"Black, forehead"
"White"	"forehead"	193	20.0693714571571	14.8767810762837	25.2619618380304	"White, forehead"
"Black"	"eyes"	194	34.1953249547329	28.9376237887384	39.4530261207274	"Black, eyes"
"White"	"eyes"	194	20.7049985893986	15.4999908750384	25.9100063037587	"White, eyes"
"Black"	"forehead"	194	20.552361384515	15.3233928154728	25.7813299535571	"Black, forehead"
"White"	"forehead"	194	20.1723134760918	14.9525307771355	25.392096175048	"White, forehead"
"Black"	"eyes"	195	34.3670133711109	29.0819817691737	39.6520449730482	"Black, eyes"
"White"	"eyes"	195	20.8095366789081	15.5774257936597	26.0416475641565	"White, eyes"
"Black"	"forehead"	195	20.6539604478956	15.3977141253573	25.9102067704339	"Black, forehead"
"White"	"forehead"	195	20.2752554950265	15.0282783472131	25.5222326428398	"White, forehead"
"Black"	"eyes"	196	34.538701787489	29.2263372972296	39.8510662777484	"Black, eyes"
"White"	"eyes"	196	20.9140747684176	15.6548585107757	26.1732910260596	"White, eyes"
"Black"	"forehead"	196	20.7555595112762	15.4720334882935	26.0390855342588	"Black, forehead"
"White"	"forehead"	196	20.3781975139612	15.1040238194763	25.652371208446	"White, forehead"
"Black"	"eyes"	197	34.710390203867	29.3706904105659	40.0500899971681	"Black, eyes"
"White"	"eyes"	197	21.0186128579272	15.7322890602507	26.3049366556037	"White, eyes"
"Black"	"forehead"	197	20.8571585746568	15.546350934284	26.1679662150295	"Black, forehead"
"White"	"forehead"	197	20.4811395328959	15.179767226211	25.7825118395807	"White, forehead"
"Black"	"eyes"	198	34.882078620245	29.5150411460784	40.2491160944117	"Black, eyes"
"White"	"eyes"	198	21.1231509474367	15.8097174752606	26.4365844196128	"White, eyes"
"Black"	"forehead"	198	20.9587576380374	15.6206664927197	26.2968487833551	"Black, forehead"
"White"	"forehead"	198	20.5840815518306	15.2555085990465	25.9126545046147	"White, forehead"
"Black"	"eyes"	199	35.0537670366231	29.6593895399182	40.4481445333279	"Black, eyes"
"White"	"eyes"	199	21.2276890369462	15.8871437883104	26.5682342855821	"White, eyes"
"Black"	"forehead"	199	21.060356701418	15.6949801923958	26.4257332104402	"Black, forehead"
"White"	"forehead"	199	20.6870235707653	15.3312479689717	26.0427991725589	"White, forehead"
"Black"	"eyes"	200	35.2254554530011	29.8037356275102	40.647175278492	"Black, eyes"
"White"	"eyes"	200	21.3322271264558	15.9645680312507	26.6998862216608	"White, eyes"
"Black"	"forehead"	200	21.1619557647986	15.7692920615268	26.5546194680704	"Black, forehead"
"White"	"forehead"	200	20.7899655897	15.4069853663515	26.1729458130485	"White, forehead"
"Black"	"eyes"	201	35.3971438693791	29.9480794435714	40.8462082951869	"Black, eyes"
"White"	"eyes"	201	21.4367652159653	16.0419902352944	26.8315401966362	"White, eyes"
"Black"	"forehead"	201	21.2635548281792	15.8436021277607	26.6835075285977	"Black, forehead"
"White"	"forehead"	201	20.8929076086347	15.4827208209421	26.3030943963273	"White, forehead"
"Black"	"eyes"	202	35.5688322857571	30.092421022128	41.0452435493863	"Black, eyes"
"White"	"eyes"	202	21.5413033054749	16.1194104310321	26.9631961799176	"White, eyes"
"Black"	"forehead"	202	21.3651538915598	15.9179104181934	26.8123973649261	"Black, forehead"
"White"	"forehead"	202	20.9958496275694	15.5584543619065	26.4332448932323	"White, forehead"
"Black"	"eyes"	203	35.7405207021352	30.236760396533	41.2442810077374	"Black, eyes"
"White"	"eyes"	203	21.6458413949844	16.1968286484479	27.0948541415209	"White, eyes"
"Black"	"forehead"	203	21.4667529549404	15.9922169593823	26.9412889504985	"Black, forehead"
"White"	"forehead"	203	21.0987916465041	15.6341860178286	26.5633972751796	"White, forehead"
"Black"	"eyes"	204	35.9122091185132	30.3810975994821	41.4433206375443	"Black, eyes"
"White"	"eyes"	204	21.7503794844939	16.2742449169337	27.2265140520541	"White, eyes"
"Black"	"forehead"	204	21.568352018321	16.0665217773593	27.0701822592827	"Black, forehead"
"White"	"forehead"	204	21.2017336654388	15.709915816728	26.6935515141497	"White, forehead"
"Black"	"eyes"	205	36.0838975348912	30.5254326630303	41.6423624067522	"Black, eyes"
