"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"
"Sub11_White_fore.avg"	1	"TP8"	"N170"	165	-1.241432	11	"White"	"fore"	"right"
"Sub11_White_fore.avg"	1	"P7/T5"	"N170"	174	-3.717962	11	"White"	"fore"	"left"
"Sub12_Black_eyes.avg"	1	"P8/T6"	"N170"	159	-2.920248	12	"Black"	"eyes"	"right"
"Sub12_Black_eyes.avg"	1	"TP7"	"N170"	144	-1.682734	12	"Black"	"eyes"	"left"
"Sub12_Black_eyes.avg"	1	"TP8"	"N170"	157	-1.022727	12	"Black"	"eyes"	"right"
"Sub12_Black_eyes.avg"	1	"P7/T5"	"N170"	148	-2.109463	12	"Black"	"eyes"	"left"
"Sub12_Black_fore.avg"	1	"P8/T6"	"N170"	158	-3.900372	12	"Black"	"fore"	"right"
"Sub12_Black_fore.avg"	1	"TP7"	"N170"	145	-1.452837	12	"Black"	"fore"	"left"
"Sub12_Black_fore.avg"	1	"TP8"	"N170"	168	-1.730747	12	"Black"	"fore"	"right"
"Sub12_Black_fore.avg"	1	"P7/T5"	"N170"	150	-2.719942	12	"Black"	"fore"	"left"
"Sub12_White_eyes.avg"	1	"P8/T6"	"N170"	163	-4.538972	12	"White"	"eyes"	"right"
"Sub12_White_eyes.avg"	1	"TP7"	"N170"	144	-0.746776	12	"White"	"eyes"	"left"
"Sub12_White_eyes.avg"	1	"TP8"	"N170"	162	-2.930205	12	"White"	"eyes"	"right"
"Sub12_White_eyes.avg"	1	"P7/T5"	"N170"	153	-1.182039	12	"White"	"eyes"	"left"
"Sub12_White_fore.avg"	1	"P8/T6"	"N170"	163	-6.489576	12	"White"	"fore"	"right"
"Sub12_White_fore.avg"	1	"TP7"	"N170"	146	0.882309	12	"White"	"fore"	"left"
"Sub12_White_fore.avg"	1	"TP8"	"N170"	164	-4.077337	12	"White"	"fore"	"right"
"Sub12_White_fore.avg"	1	"P7/T5"	"N170"	153	0.047532	12	"White"	"fore"	"left"
"Sub13_Black_eyes.avg"	1	"P8/T6"	"N170"	145	-4.391479	13	"Black"	"eyes"	"right"
"Sub13_Black_eyes.avg"	1	"TP7"	"N170"	178	-3.483582	13	"Black"	"eyes"	"left"
"Sub13_Black_eyes.avg"	1	"TP8"	"N170"	143	-2.485657	13	"Black"	"eyes"	"right"
"Sub13_Black_eyes.avg"	1	"P7/T5"	"N170"	165	-4.386902	13	"Black"	"eyes"	"left"
"Sub13_Black_fore.avg"	1	"P8/T6"	"N170"	148	-2.654516	13	"Black"	"fore"	"right"
