"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"Nose"	2.595332	"Black_fore"	55	"Black"	"fore"
"FZ"	0.150116	"White_eyes"	55	"White"	"eyes"
"FC3"	-0.836315	"White_eyes"	55	"White"	"eyes"
"FCZ"	0.456148	"White_eyes"	55	"White"	"eyes"
"FC4"	2.098638	"White_eyes"	55	"White"	"eyes"
"C3"	0.054373	"White_eyes"	55	"White"	"eyes"
"CZ"	0.910524	"White_eyes"	55	"White"	"eyes"
"C4"	2.269772	"White_eyes"	55	"White"	"eyes"
"CP3"	0.979783	"White_eyes"	55	"White"	"eyes"
"CPZ"	1.07789	"White_eyes"	55	"White"	"eyes"
"CP4"	2.268331	"White_eyes"	55	"White"	"eyes"
"P3"	1.855917	"White_eyes"	55	"White"	"eyes"
"PZ"	0.930397	"White_eyes"	55	"White"	"eyes"
"P4"	2.990471	"White_eyes"	55	"White"	"eyes"
"Oz"	0.998178	"White_eyes"	55	"White"	"eyes"
"FP1"	-1.700149	"White_eyes"	55	"White"	"eyes"
"FP2"	-1.112317	"White_eyes"	55	"White"	"eyes"
"A2"	-1.972088	"White_eyes"	55	"White"	"eyes"
"P8/T6"	4.526209	"White_eyes"	55	"White"	"eyes"
"TP7"	0.08939	"White_eyes"	55	"White"	"eyes"
"TP8"	3.68029	"White_eyes"	55	"White"	"eyes"
"P7/T5"	3.044511	"White_eyes"	55	"White"	"eyes"
"VEOG"	6.116689	"White_eyes"	55	"White"	"eyes"
"HEOG"	2.118584	"White_eyes"	55	"White"	"eyes"
"Nose"	-1.785329	"White_eyes"	55	"White"	"eyes"
"FZ"	-0.958808	"White_fore"	55	"White"	"fore"
"FC3"	-0.544949	"White_fore"	55	"White"	"fore"
"FCZ"	-0.783564	"White_fore"	55	"White"	"fore"
"FC4"	-0.22954	"White_fore"	55	"White"	"fore"
"C3"	-0.442914	"White_fore"	55	"White"	"fore"
"CZ"	-0.563899	"White_fore"	55	"White"	"fore"
"C4"	-0.111567	"White_fore"	55	"White"	"fore"
"CP3"	-0.155416	"White_fore"	55	"White"	"fore"
"CPZ"	-0.694531	"White_fore"	55	"White"	"fore"
"CP4"	-0.355559	"White_fore"	55	"White"	"fore"
"P3"	0.743681	"White_fore"	55	"White"	"fore"
"PZ"	-1.082005	"White_fore"	55	"White"	"fore"
"P4"	-0.522605	"White_fore"	55	"White"	"fore"
"Oz"	0.251198	"White_fore"	55	"White"	"fore"
"FP1"	-0.841292	"White_fore"	55	"White"	"fore"
"FP2"	0.085449	"White_fore"	55	"White"	"fore"
"A2"	-0.503464	"White_fore"	55	"White"	"fore"
"P8/T6"	1.144271	"White_fore"	55	"White"	"fore"
"TP7"	0.939629	"White_fore"	55	"White"	"fore"
"TP8"	1.297323	"White_fore"	55	"White"	"fore"
"P7/T5"	3.210745	"White_fore"	55	"White"	"fore"
"VEOG"	2.215485	"White_fore"	55	"White"	"fore"
"HEOG"	-2.380319	"White_fore"	55	"White"	"fore"
"Nose"	0.239912	"White_fore"	55	"White"	"fore"
"FZ"	2.424833	"Black_eyes"	56	"Black"	"eyes"
"FC3"	2.650205	"Black_eyes"	56	"Black"	"eyes"
"FCZ"	2.469395	"Black_eyes"	56	"Black"	"eyes"
"FC4"	1.95305	"Black_eyes"	56	"Black"	"eyes"
"C3"	2.826365	"Black_eyes"	56	"Black"	"eyes"
"CZ"	2.357418	"Black_eyes"	56	"Black"	"eyes"
"C4"	1.793753	"Black_eyes"	56	"Black"	"eyes"
"CP3"	2.728533	"Black_eyes"	56	"Black"	"eyes"
"CPZ"	2.867538	"Black_eyes"	56	"Black"	"eyes"
"CP4"	1.936738	"Black_eyes"	56	"Black"	"eyes"
"P3"	2.497685	"Black_eyes"	56	"Black"	"eyes"
"PZ"	2.401823	"Black_eyes"	56	"Black"	"eyes"
"P4"	1.542259	"Black_eyes"	56	"Black"	"eyes"
"Oz"	-0.609607	"Black_eyes"	56	"Black"	"eyes"
"FP1"	2.428221	"Black_eyes"	56	"Black"	"eyes"
"FP2"	1.38576	"Black_eyes"	56	"Black"	"eyes"
"A2"	1.225635	"Black_eyes"	56	"Black"	"eyes"
"P8/T6"	-2.502176	"Black_eyes"	56	"Black"	"eyes"
"TP7"	1.669129	"Black_eyes"	56	"Black"	"eyes"
"TP8"	-0.68498	"Black_eyes"	56	"Black"	"eyes"
"P7/T5"	0.747903	"Black_eyes"	56	"Black"	"eyes"
