"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-0.458	-0.4893	-0.3328	-0.6401	-0.4609	-0.2987	-0.6486	-0.4153	-0.3328	-0.5462	-0.3357	-0.367	-0.5149	-0.2105	0.4296	-0.3385	0.3869	-0.1849	-0.0512	-0.2247	-0.3016	1.9715	-0.0085
-0.4552	-0.4922	-0.3641	-0.5974	-0.4666	-0.2902	-0.6372	-0.4153	-0.3129	-0.5491	-0.3215	-0.3698	-0.5121	-0.2048	0.5149	-0.1593	0.3727	-0.1764	-0.0114	-0.2447	-0.2532	1.8634	-0.0028
-0.441	-0.4836	-0.3641	-0.586	-0.441	-0.2731	-0.6173	-0.3983	-0.2902	-0.5491	-0.3044	-0.367	-0.5092	-0.202	0.5633	0.0484	0.3755	-0.1963	0.0114	-0.2959	-0.2333	1.7154	-0.0057
-0.3812	-0.441	-0.3243	-0.5121	-0.4125	-0.2304	-0.5604	-0.3641	-0.2503	-0.5291	-0.276	-0.3328	-0.4694	-0.1565	0.6629	0.2987	0.3129	-0.1764	0.0484	-0.3072	-0.1906	1.5391	-0.0284
-0.3243	-0.421	-0.3215	-0.4381	-0.3954	-0.202	-0.5121	-0.3613	-0.2304	-0.495	-0.2532	-0.3158	-0.458	-0.1593	0.7226	0.5092	0.2703	-0.1821	0.0711	-0.3385	-0.1593	1.3598	-0.0427
-0.2703	-0.3812	-0.2589	-0.3414	-0.3585	-0.1366	-0.4267	-0.3414	-0.1622	-0.4381	-0.2276	-0.2845	-0.404	-0.128	0.7994	0.697	0.2162	-0.1536	0.1223	-0.3499	-0.1622	1.1408	-0.0853
-0.202	-0.3186	-0.2162	-0.2447	-0.3129	-0.0711	-0.3613	-0.2674	-0.0996	-0.3755	-0.1991	-0.239	-0.3641	-0.0797	0.8734	0.9274	0.1451	-0.128	0.1337	-0.3698	-0.1309	0.916	-0.1024
-0.1166	-0.2333	-0.1678	-0.1479	-0.2361	-0.0171	-0.2447	-0.2191	-0.037	-0.293	-0.1593	-0.1536	-0.2873	-0.0512	0.9217	1.0896	0.074	-0.0939	0.1735	-0.3528	-0.074	0.7112	-0.1593
-0.0797	-0.1935	-0.1223	-0.0711	-0.2048	0.0484	-0.1479	-0.1792	0.0256	-0.2475	-0.1166	-0.1252	-0.2247	-0.0228	0.9473	1.2176	0.0199	-0.0569	0.1792	-0.3613	-0.0711	0.5092	-0.1963
-0.037	-0.1109	-0.074	-0.0028	-0.1252	0.128	-0.0768	-0.0967	0.0882	-0.1536	-0.0541	-0.0341	-0.1422	0.0142	0.9929	1.3285	-0.0683	0.0057	0.2105	-0.3357	-0.0028	0.3186	-0.2475
0.0284	-0.0597	-0.037	0.0455	-0.0825	0.1451	-0.0028	-0.0683	0.1792	-0.0967	0	0.0028	-0.0711	0.0597	0.953	1.3798	-0.1451	0.0341	0.2105	-0.33	0.0313	0.1366	-0.2816
0.0398	-0.0028	-0.0171	0.0797	-0.0398	0.2077	0.0085	0	0.2276	-0.0597	0.0455	0.0711	0.0057	0.1109	0.8904	1.3769	-0.2304	0.0597	0.2077	-0.3129	0.0626	-0.0114	-0.3101
0.0853	0.0256	0.0341	0.1024	0.0114	0.2788	0.0427	0.0398	0.256	-0.0085	0.0939	0.1252	0.0455	0.1508	0.8364	1.3741	-0.3044	0.0967	0.1878	-0.3072	0.0882	-0.1479	-0.33
0.0882	0.0626	0.0569	0.1109	0.0569	0.3101	0.0597	0.1195	0.3272	0.0398	0.1479	0.1963	0.0996	0.2105	0.7311	1.2973	-0.4097	0.1394	0.2162	-0.3072	0.1195	-0.2617	-0.3471
0.1138	0.0939	0.0797	0.1109	0.074	0.3499	0.0967	0.1622	0.3698	0.0569	0.1764	0.2418	0.1451	0.2503	0.5804	1.192	-0.5035	0.1394	0.2503	-0.2674	0.1565	-0.33	-0.3385
0.1337	0.1053	0.074	0.091	0.1024	0.3784	0.0853	0.1735	0.421	0.0967	0.2191	0.2788	0.1963	0.293	0.4125	1.0754	-0.5946	0.1678	0.2674	-0.2447	0.1735	-0.3869	-0.3585
0.1195	0.0853	0.0853	0.0768	0.1252	0.3784	0.0512	0.2191	0.4381	0.1109	0.256	0.3243	0.2191	0.33	0.2304	0.936	-0.6714	0.1792	0.3101	-0.1991	0.1878	-0.4097	-0.3357
0.1053	0.0569	0.0768	0.0284	0.1252	0.404	0.0341	0.2077	0.441	0.1223	0.2703	0.3556	0.2589	0.3727	0	0.7397	-0.734	0.1792	0.3044	-0.1792	0.1878	-0.3755	-0.3101
0.0967	0.0597	0.0939	0.0313	0.1366	0.4239	0.0455	0.2418	0.4808	0.1252	0.293	0.3954	0.293	0.3954	-0.1906	0.5547	-0.7937	0.1735	0.3186	-0.1536	0.2048	-0.3385	-0.2845
0.0939	0.0256	0.0939	-0.0085	0.1223	0.4182	0.0057	0.2503	0.4922	0.1678	0.2987	0.3983	0.3328	0.4267	-0.3983	0.3641	-0.862	0.1935	0.3186	-0.1109	0.1935	-0.276	-0.2475
0.074	0.0142	0.0825	-0.037	0.1337	0.4324	-0.0171	0.2532	0.4836	0.1764	0.3072	0.4267	0.3641	0.4523	-0.6259	0.1508	-0.9104	0.2162	0.2788	-0.091	0.1707	-0.1792	-0.2162
0.074	-0.0398	0.0683	-0.0541	0.0996	0.4125	-0.0028	0.2418	0.5149	0.165	0.3101	0.441	0.3585	0.4722	-0.8279	-0.0484	-0.9445	0.1878	0.2703	-0.0996	0.1451	-0.0484	-0.1707
0.0768	-0.0683	0.0853	-0.091	0.0768	0.4125	-0.0199	0.2646	0.5149	0.1906	0.2959	0.4694	0.3442	0.4779	-1.0241	-0.2788	-0.9616	0.1821	0.1935	-0.0654	0.1508	0.0967	-0.1138
0.0711	-0.0939	0.0569	-0.091	0.0427	0.3869	-0.0597	0.2333	0.4893	0.1764	0.3101	0.458	0.3385	0.4751	-1.1635	-0.4694	-0.9616	0.1536	0.1593	-0.074	0.1223	0.2589	-0.1138
0.0711	-0.1337	0.074	-0.0711	0.0256	0.3812	-0.0569	0.256	0.5206	0.202	0.3101	0.4865	0.3897	0.4751	-1.3086	-0.66	-0.9616	0.1451	0.1024	-0.0683	0.1252	0.4438	-0.1024
0.0597	-0.1622	0.0768	-0.1024	-0.0028	0.3841	-0.0284	0.2134	0.5092	0.2077	0.3016	0.4808	0.3698	0.4495	-1.3911	-0.825	-0.9132	0.1366	0.0882	-0.0939	0.0967	0.6401	-0.0797
0.0341	-0.2219	0.0427	-0.1138	-0.0541	0.33	-0.0398	0.1906	0.458	0.1878	0.2674	0.4666	0.3442	0.4153	-1.4623	-0.9246	-0.8307	0.0996	0.0341	-0.1138	0.0541	0.8279	-0.1138
0.0341	-0.2333	0.0484	-0.1109	-0.0398	0.33	-0.0114	0.1878	0.4609	0.2304	0.2816	0.4523	0.3272	0.3613	-1.4793	-1.0128	-0.7482	0.0996	0.0313	-0.1337	0.0825	1.0469	-0.1252
0.0085	-0.276	0.0427	-0.1252	-0.0654	0.3044	0	0.1991	0.4552	0.2503	0.2646	0.4353	0.3215	0.3016	-1.522	-1.0896	-0.6401	0.074	0.0228	-0.1451	0.074	1.266	-0.1309
-0.0199	-0.3072	0.0341	-0.0996	-0.0768	0.2646	0.0398	0.1735	0.4381	0.256	0.2873	0.4153	0.3215	0.2503	-1.4992	-1.0981	-0.5121	0.0654	0.0199	-0.1479	0.0683	1.485	-0.1252
-0.0085	-0.3016	0.0427	-0.0597	-0.0541	0.2873	0.1024	0.2162	0.4694	0.3215	0.3044	0.4125	0.3357	0.1906	-1.4253	-1.101	-0.3983	0.0967	0.0171	-0.1309	0.0768	1.687	-0.1536
0	-0.2987	0.0398	0.0114	-0.0455	0.276	0.1735	0.2191	0.4609	0.3727	0.3044	0.4125	0.3158	0.1109	-1.3542	-1.0298	-0.2617	0.1138	0.0569	-0.1195	0.0996	1.8691	-0.1166
0.0142	-0.2674	0.091	0.1337	0.0114	0.2845	0.2845	0.2674	0.4666	0.441	0.3499	0.4153	0.3499	0.0541	-1.2603	-0.9758	-0.1195	0.1195	0.0597	-0.074	0.1081	2.0284	-0.165
0.0341	-0.2162	0.1337	0.2361	0.0313	0.3129	0.4125	0.3072	0.4836	0.5206	0.3414	0.4296	0.3784	-0.0057	-1.1266	-0.8478	-0.0085	0.1622	0.1053	-0.0028	0.1109	2.1706	-0.1849
0.0797	-0.1821	0.1707	0.3357	0.1081	0.3243	0.5007	0.3385	0.5206	0.5917	0.3869	0.441	0.3869	-0.0768	-0.9701	-0.7141	0.1081	0.2105	0.1337	0.0484	0.1252	2.3015	-0.2191
0.0996	-0.1394	0.1991	0.4011	0.1166	0.3442	0.5832	0.3585	0.5092	0.6572	0.3727	0.4011	0.3841	-0.1394	-0.8193	-0.5946	0.2418	0.2276	0.1536	0.0939	0.1309	2.3925	-0.239
0.1508	-0.1024	0.2361	0.4893	0.165	0.3698	0.6771	0.3471	0.5462	0.6885	0.4153	0.4153	0.4068	-0.1849	-0.66	-0.4296	0.3471	0.2731	0.2162	0.1622	0.091	2.4409	-0.2418
0.1707	-0.0597	0.2418	0.5661	0.202	0.3499	0.751	0.3641	0.5604	0.7624	0.3841	0.4125	0.421	-0.2418	-0.4836	-0.2703	0.4609	0.2731	0.2703	0.1906	0.0939	2.4665	-0.2589
0.2276	-0.0142	0.3072	0.6202	0.256	0.4011	0.8222	0.4153	0.586	0.8108	0.4267	0.4381	0.4267	-0.2959	-0.3072	-0.0654	0.5661	0.3215	0.3528	0.2532	0.1138	2.4608	-0.2902
0.2617	0.0569	0.3698	0.6742	0.3186	0.4495	0.8848	0.4495	0.623	0.8506	0.4637	0.4552	0.4438	-0.3442	-0.1366	0.1479	0.6657	0.3414	0.4466	0.2902	0.1195	2.4153	-0.3272
0.3272	0.0825	0.4495	0.7397	0.4011	0.4722	0.9929	0.4751	0.6828	0.9217	0.495	0.4637	0.4808	-0.3954	0.074	0.3897	0.7539	0.3812	0.5519	0.3499	0.1565	2.3186	-0.3613
0.404	0.1451	0.5178	0.8136	0.4637	0.5747	1.0782	0.5377	0.7397	1.0128	0.5263	0.5377	0.5149	-0.4267	0.2873	0.6259	0.8279	0.4182	0.6629	0.404	0.1565	2.182	-0.404
0.441	0.1792	0.5917	0.8762	0.5149	0.6003	1.1493	0.5804	0.7909	1.0554	0.5519	0.5576	0.5633	-0.4523	0.4637	0.8933	0.8904	0.441	0.7852	0.441	0.202	2.0312	-0.4637
0.532	0.2276	0.6771	0.953	0.5661	0.6828	1.2204	0.6287	0.8591	1.1095	0.6031	0.5974	0.606	-0.4865	0.6316	1.0981	0.9502	0.4893	0.9132	0.5149	0.2361	1.852	-0.5007
0.586	0.2589	0.7397	0.9872	0.6316	0.7226	1.2745	0.6913	0.916	1.1721	0.6372	0.6316	0.623	-0.5007	0.7966	1.3342	0.9786	0.4979	0.99	0.5263	0.256	1.6785	-0.5747
0.6344	0.3357	0.8193	1.0583	0.6828	0.7823	1.3001	0.7169	0.953	1.1835	0.7112	0.6486	0.6486	-0.4922	0.9843	1.522	0.9786	0.5263	1.0498	0.5775	0.3186	1.4964	-0.6372
0.6742	0.3528	0.8791	1.0839	0.7055	0.8136	1.3172	0.7795	0.9786	1.2005	0.7283	0.6685	0.6429	-0.495	1.1095	1.687	0.9701	0.5633	1.0896	0.6401	0.3272	1.3172	-0.6998
0.66	0.3556	0.8819	1.0526	0.7311	0.8307	1.2859	0.7909	1.0071	1.1721	0.7624	0.6486	0.6145	-0.4836	1.2347	1.7837	0.9388	0.5661	1.1266	0.6629	0.3641	1.1749	-0.7653
0.6856	0.3442	0.9189	1.0725	0.751	0.8364	1.229	0.771	1.0071	1.118	0.7567	0.6486	0.6202	-0.4666	1.3058	1.8435	0.9018	0.5633	1.1123	0.6771	0.3442	1.0697	-0.7909
0.6685	0.3215	0.9189	1.0298	0.751	0.8421	1.1522	0.7738	0.9758	1.0554	0.7567	0.6344	0.5547	-0.4381	1.3798	1.8349	0.8335	0.5547	1.1237	0.6799	0.3471	1.0213	-0.8307
0.6173	0.2959	0.899	1.0014	0.6998	0.7795	1.0668	0.7539	0.9473	0.9701	0.734	0.5804	0.5064	-0.3983	1.4025	1.7837	0.7653	0.5235	1.1209	0.6913	0.3385	1.0099	-0.8705
0.6401	0.2646	0.8762	0.9559	0.6714	0.7795	0.9729	0.7624	0.9075	0.9132	0.7226	0.5405	0.4552	-0.3414	1.3997	1.6699	0.66	0.5007	1.1123	0.697	0.3072	1.0526	-0.8819
0.5974	0.1991	0.8193	0.8791	0.6202	0.7254	0.8421	0.6856	0.8478	0.8051	0.6685	0.4836	0.3812	-0.2873	1.3627	1.5448	0.5377	0.458	1.1067	0.6913	0.2674	1.1465	-0.8904
