"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-0.027	-0.8063	-0.4526	-0.7014	-1.8613	-1.7954	-1.3727	-2.6376	-3.4618	-2.7575	-3.0182	-3.8125	-3.3629	-0.7583	-0.2638	0.3747	1.4986	-2.4518	-1.5286	-2.17	-1.6665	-1.2888	0.2218
-0.033	-0.7973	-0.4706	-0.6384	-1.8553	-1.7924	-1.3188	-2.6076	-3.4319	-2.6796	-2.9643	-3.7616	-3.312	-0.7014	-0.2937	0.4046	1.4147	-2.4098	-1.5496	-2.1341	-1.5856	-1.3068	0.2248
-0.036	-0.7433	-0.4616	-0.5725	-1.8283	-1.7684	-1.2289	-2.5776	-3.3629	-2.5836	-2.8564	-3.6267	-3.1951	-0.6324	-0.2787	0.4316	1.2738	-2.3019	-1.5076	-2.0321	-1.4597	-1.3308	0.2548
-0.015	-0.6984	-0.4436	-0.5065	-1.7804	-1.7264	-1.139	-2.5177	-3.243	-2.4757	-2.7665	-3.5068	-3.0932	-0.5575	-0.2787	0.4796	1.124	-2.233	-1.4507	-1.9542	-1.3308	-1.3248	0.2638
0.051	-0.6234	-0.3896	-0.4256	-1.6935	-1.6425	-1.043	-2.4248	-3.1142	-2.3499	-2.6106	-3.324	-2.9463	-0.4886	-0.2278	0.5575	0.9471	-2.1071	-1.3578	-1.8283	-1.1809	-1.3188	0.2728
0.0869	-0.5455	-0.3387	-0.3177	-1.5826	-1.5646	-0.9052	-2.2959	-2.9703	-2.2	-2.4578	-3.1441	-2.7875	-0.4016	-0.1888	0.6234	0.7673	-1.9392	-1.2499	-1.6755	-1.0341	-1.2858	0.2757
0.1259	-0.4646	-0.2817	-0.2578	-1.4956	-1.4657	-0.8422	-2.215	-2.8294	-2.0951	-2.3049	-2.9553	-2.6346	-0.3087	-0.1589	0.6564	0.6144	-1.8133	-1.142	-1.5646	-0.8812	-1.2259	0.2877
0.1708	-0.3896	-0.2578	-0.1828	-1.3937	-1.3727	-0.7283	-2.0771	-2.6376	-1.9452	-2.1131	-2.7185	-2.4548	-0.2428	-0.1319	0.6984	0.4616	-1.6635	-1.0041	-1.3608	-0.7223	-1.148	0.2967
0.1978	-0.3507	-0.2428	-0.1199	-1.3158	-1.3038	-0.6534	-1.9602	-2.4578	-1.8163	-1.9422	-2.5267	-2.2929	-0.1708	-0.1109	0.6804	0.3447	-1.4926	-0.8842	-1.2199	-0.5725	-1.0341	0.2997
0.2368	-0.2907	-0.1858	-0.042	-1.2139	-1.2139	-0.5695	-1.8493	-2.2989	-1.6845	-1.7834	-2.3049	-2.1161	-0.1199	-0.0779	0.6894	0.2398	-1.3338	-0.7583	-1.073	-0.4526	-0.9292	0.3327
0.2458	-0.2548	-0.1798	-0.021	-1.1689	-1.1569	-0.5005	-1.7414	-2.14	-1.5766	-1.6515	-2.1101	-1.9722	-0.0719	-0.0809	0.6684	0.1289	-1.2109	-0.6534	-0.9202	-0.3297	-0.7853	0.3447
0.2098	-0.2398	-0.2098	0	-1.094	-1.079	-0.4616	-1.6335	-1.9782	-1.4657	-1.4747	-1.9182	-1.8133	-0.015	-0.048	0.6234	0.009	-1.073	-0.5515	-0.7823	-0.2188	-0.6384	0.3866
