"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.8733	-0.8078	-0.7474	-0.3121	-0.2859	-0.5586	-0.3567	-0.0734	-0.4878	-0.3593	-0.2334	-0.2675	-0.3121	0.257	-1.209	-0.6688	-0.5088	-0.236	-0.3803	0.1285	-0.375
-0.7343	-0.7133	-0.6006	-0.1705	-0.2046	-0.4406	-0.2623	-0.0079	-0.3908	-0.3147	-0.1941	-0.2072	-0.2806	0.2859	-1.0281	-0.5193	-0.5455	-0.2544	-0.2885	0.1233	-0.2859
-0.5665	-0.6189	-0.4406	-0.0472	-0.1574	-0.3095	-0.1705	0.0131	-0.2937	-0.2387	-0.1364	-0.139	-0.2465	0.299	-0.8104	-0.3855	-0.5848	-0.2859	-0.1888	0.0839	-0.2465
-0.4196	-0.514	-0.278	0.0525	-0.0944	-0.16	-0.0551	0.0498	-0.1993	-0.1757	-0.0997	-0.0761	-0.2072	0.32	-0.5822	-0.2334	-0.6163	-0.2937	-0.1154	0.0734	-0.2282
-0.2544	-0.396	-0.1075	0.1783	-0.0236	-0.0236	0.0656	0.0839	-0.0656	-0.0892	-0.0525	-0.0262	-0.1678	0.3357	-0.3541	-0.0918	-0.6635	-0.3226	-0.0393	0.0787	-0.1705
-0.1233	-0.3068	0.0656	0.2911	-0.0105	0.0918	0.1678	0.0944	0.021	-0.0446	-0.0525	0.042	-0.1442	0.3436	-0.139	0.0315	-0.674	-0.3409	0.0105	0.0787	-0.1574
0.0236	-0.1574	0.2177	0.4039	0.0682	0.2282	0.278	0.1154	0.1154	0.0341	0.0105	0.0918	-0.1075	0.3619	0.0682	0.2098	-0.7133	-0.32	0.0551	0.0761	-0.139
0.1862	-0.0262	0.3803	0.5219	0.1311	0.3514	0.3724	0.1469	0.1941	0.1259	0.0551	0.1626	-0.0525	0.3803	0.2675	0.3147	-0.737	-0.3226	0.0997	0.097	-0.0944
0.3304	0.097	0.5298	0.6163	0.1757	0.4747	0.4485	0.1547	0.2964	0.1915	0.0734	0.2334	-0.0262	0.3777	0.4301	0.4275	-0.7474	-0.3252	0.1233	0.0865	-0.0629
0.4432	0.2151	0.653	0.695	0.2229	0.5639	0.5455	0.1547	0.3724	0.2649	0.1023	0.2806	0.0105	0.3724	0.5481	0.535	-0.7396	-0.3095	0.1206	0.0918	-0.0629
0.5901	0.3514	0.7946	0.7999	0.3042	0.6766	0.6557	0.16	0.4747	0.3541	0.1495	0.3147	0.0865	0.3803	0.6661	0.6373	-0.7474	-0.278	0.139	0.1233	-0.0472
0.6897	0.4694	0.9022	0.834	0.3173	0.7474	0.695	0.1941	0.5403	0.4249	0.1652	0.3777	0.1259	0.3803	0.7133	0.716	-0.7265	-0.2544	0.1206	0.1049	-0.0551
0.7527	0.5429	0.9966	0.8681	0.3514	0.8051	0.7658	0.1731	0.5875	0.4773	0.1836	0.4249	0.1652	0.3488	0.7684	0.7946	-0.6976	-0.236	0.1075	0.0918	-0.0367
0.8314	0.6242	1.0517	0.8759	0.3672	0.8655	0.8025	0.1757	0.6242	0.514	0.2203	0.4354	0.1915	0.32	0.7842	0.8523	-0.6478	-0.2334	0.1233	0.0865	-0.0472
0.8969	0.6871	1.112	0.9074	0.3881	0.8969	0.8209	0.1915	0.6609	0.5612	0.257	0.493	0.2439	0.3042	0.7632	0.8838	-0.5953	-0.2203	0.139	0.0944	-0.0105
0.9179	0.7317	1.1539	0.9205	0.3881	0.9205	0.8445	0.1783	0.6897	0.598	0.2413	0.4694	0.2728	0.2675	0.7291	0.8943	-0.535	-0.1888	0.1442	0.0682	0.021
0.9415	0.7579	1.1592	0.8786	0.4013	0.9363	0.8392	0.2072	0.6924	0.6294	0.2491	0.5035	0.2911	0.2387	0.6845	0.9153	-0.4694	-0.1626	0.1705	0.0761	0.0472
0.9494	0.7789	1.1775	0.8655	0.4117	0.9363	0.855	0.2098	0.7212	0.6819	0.3042	0.5035	0.3121	0.2124	0.6478	0.9284	-0.4039	-0.1469	0.2072	0.0813	0.0865
0.931	0.7894	1.1513	0.8314	0.396	0.9258	0.8287	0.2019	0.716	0.6714	0.3226	0.4957	0.3304	0.1521	0.5665	0.9048	-0.3016	-0.1521	0.2439	0.0629	0.1338
0.9179	0.792	1.1199	0.8051	0.4117	0.8838	0.813	0.2308	0.7055	0.7002	0.3409	0.493	0.3645	0.1023	0.493	0.8996	-0.2124	-0.1128	0.2911	0.0708	0.2098
0.9153	0.7999	1.0989	0.7815	0.4222	0.8681	0.8078	0.2282	0.6897	0.7238	0.3724	0.5114	0.3829	0.0498	0.4485	0.9048	-0.1075	-0.0839	0.3645	0.0708	0.257
0.8733	0.7842	1.0307	0.7291	0.4249	0.8602	0.7868	0.236	0.6924	0.7422	0.3908	0.493	0.4275	0.0026	0.3488	0.8917	-0.0052	-0.0341	0.4039	0.0682	0.3278
0.8209	0.7527	0.9756	0.6845	0.3986	0.8025	0.7448	0.2255	0.6399	0.7317	0.3934	0.4773	0.4406	-0.0656	0.236	0.8602	0.1233	-0.0079	0.4642	0.0446	0.3698
0.813	0.737	0.9284	0.653	0.4144	0.7684	0.737	0.2544	0.6373	0.7501	0.4144	0.4826	0.4642	-0.1049	0.1338	0.8733	0.2177	0.0236	0.514	0.0446	0.417
0.7684	0.6897	0.8497	0.6058	0.3855	0.7212	0.6845	0.2465	0.6163	0.737	0.4144	0.4537	0.4616	-0.1678	0.0341	0.8759	0.3514	0.0341	0.556	0.0472	0.4957
0.7107	0.6583	0.792	0.5744	0.3829	0.6793	0.6452	0.2544	0.5796	0.7553	0.4485	0.4616	0.493	-0.2282	-0.0682	0.8392	0.459	0.0865	0.5953	0.0367	0.5639
0.6661	0.6583	0.7422	0.5403	0.4117	0.6609	0.6268	0.2832	0.556	0.7579	0.4826	0.4668	0.5245	-0.2885	-0.1547	0.8287	0.5848	0.1259	0.6268	0.0734	0.6163
0.6216	0.6163	0.6845	0.5271	0.3855	0.6111	0.6058	0.3042	0.5481	0.7789	0.5062	0.4668	0.5639	-0.3462	-0.2098	0.8156	0.695	0.1731	0.6557	0.0708	0.6688
