"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.0266	0.0133	-0.0586	-0.1039	-0.1758	-0.0373	-0.1599	-0.1812	-0.1812	-0.0133	-0.5275	-0.1838	-0.0986	-0.1998	0.3357	0.0506	0.4236	-0.2371	-0.4796	-0.3064	-0.8659
0.0986	0.0799	0.008	-0.048	-0.1332	0.0346	-0.1172	-0.1519	-0.1359	0.0266	-0.5382	-0.1705	-0.0853	-0.2025	0.3783	0.0959	0.4343	-0.2451	-0.4662	-0.3011	-0.8605
0.1412	0.1812	0.0799	0.0053	-0.0746	0.1119	-0.0613	-0.1066	-0.0826	0.0826	-0.5195	-0.1412	-0.0693	-0.1972	0.4076	0.1146	0.4289	-0.2584	-0.4343	-0.2771	-0.8392
0.1972	0.2371	0.1545	0.0559	-0.0186	0.1705	-0.0027	-0.0906	-0.048	0.1012	-0.5355	-0.1119	-0.048	-0.2131	0.4263	0.1332	0.4343	-0.2851	-0.4236	-0.2744	-0.8099
0.2398	0.3011	0.2291	0.1012	0.0453	0.2584	0.0346	-0.0373	-0.016	0.1439	-0.5355	-0.0719	-0.0266	-0.2051	0.4449	0.1465	0.4316	-0.2691	-0.4103	-0.2504	-0.8179
0.2558	0.349	0.2611	0.1146	0.0613	0.2851	0.0533	-0.0453	0.008	0.1412	-0.5515	-0.0799	-0.0266	-0.2238	0.4156	0.1519	0.4716	-0.317	-0.405	-0.2504	-0.8179
0.3064	0.3916	0.3197	0.1972	0.0826	0.3384	0.0932	-0.0426	0.0426	0.1545	-0.5701	-0.0533	-0.032	-0.2345	0.4156	0.1332	0.4929	-0.3304	-0.3996	-0.2718	-0.8232
0.3197	0.389	0.3597	0.2131	0.0746	0.3517	0.1172	-0.0533	0.0559	0.1758	-0.5995	-0.0559	-0.0346	-0.2504	0.4156	0.1039	0.5275	-0.349	-0.397	-0.2638	-0.8472
0.3464	0.4023	0.389	0.2451	0.0906	0.381	0.1252	-0.0639	0.0453	0.1705	-0.6368	-0.0453	-0.0613	-0.2718	0.3783	0.0799	0.5701	-0.3863	-0.3863	-0.2797	-0.8499
0.3384	0.3916	0.4076	0.2638	0.0426	0.3677	0.1465	-0.1146	0.0506	0.1599	-0.6634	-0.0639	-0.0853	-0.2984	0.357	0.0559	0.6154	-0.4076	-0.3996	-0.3091	-0.8872
0.357	0.381	0.4156	0.2851	0.0373	0.373	0.1652	-0.1226	0.0426	0.1439	-0.6954	-0.0773	-0.1172	-0.3224	0.3277	0.032	0.6634	-0.4529	-0.3916	-0.3197	-0.9032
