"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.276	-0.1906	0.202	0.5092	-0.0797	-0.0028	0.4979	-0.3954	-0.4153	0.2447	-0.5462	-0.7397	-0.3129	0.4381	0.128	0.6259	-0.8819	0.0171	-0.0142	0.3841	-0.256	1.761	0.3613
0.3755	-0.1622	0.293	0.6003	-0.0569	0.0597	0.5263	-0.4296	-0.3328	0.2503	-0.586	-0.7027	-0.3272	0.4381	0.2247	0.6629	-0.8819	0	-0.074	0.4068	-0.2788	1.8406	0.3841
0.4438	-0.0967	0.3613	0.6742	-0.074	0.128	0.5946	-0.4523	-0.2646	0.2532	-0.6259	-0.6629	-0.3357	0.4438	0.3243	0.6941	-0.8677	-0.0085	-0.0939	0.4153	-0.3016	1.926	0.3983
0.5092	-0.0541	0.458	0.751	-0.0484	0.1935	0.623	-0.4893	-0.2048	0.276	-0.6572	-0.6316	-0.3613	0.4267	0.421	0.7482	-0.8591	-0.0455	-0.1138	0.404	-0.33	2.0085	0.3869
0.5917	-0.0313	0.4865	0.7937	-0.0825	0.276	0.6287	-0.5547	-0.1565	0.2589	-0.7169	-0.6372	-0.4011	0.4011	0.4865	0.751	-0.8279	-0.0996	-0.1678	0.3869	-0.3698	2.1137	0.3983
0.6543	0.0284	0.5804	0.8335	-0.0711	0.3471	0.6372	-0.5661	-0.0853	0.2617	-0.7766	-0.6145	-0.4381	0.3983	0.5576	0.7624	-0.7966	-0.1366	-0.1508	0.3528	-0.4011	2.2105	0.4153
0.6998	0.0597	0.6259	0.8591	-0.0967	0.4068	0.6714	-0.6287	-0.0626	0.2361	-0.8307	-0.623	-0.4893	0.3841	0.5917	0.788	-0.7596	-0.1849	-0.1622	0.3158	-0.4097	2.3271	0.4068
0.7539	0.1223	0.6885	0.8904	-0.0882	0.4666	0.6856	-0.6572	-0.0313	0.2361	-0.8819	-0.6372	-0.5405	0.3585	0.6145	0.7482	-0.7112	-0.2105	-0.1735	0.2816	-0.4267	2.438	0.421
0.7937	0.1622	0.7482	0.936	-0.0967	0.5405	0.6799	-0.6799	-0.0085	0.2048	-0.9473	-0.6572	-0.5775	0.3243	0.6287	0.7283	-0.6572	-0.2674	-0.1565	0.2162	-0.4182	2.5405	0.4182
0.8535	0.2333	0.7937	0.9473	-0.074	0.6259	0.6941	-0.6941	0.0711	0.2048	-0.9815	-0.6629	-0.6202	0.293	0.6259	0.6828	-0.606	-0.3072	-0.1422	0.1735	-0.4324	2.6599	0.4267
0.8876	0.3016	0.8478	0.9872	-0.0626	0.6828	0.7141	-0.7368	0.1053	0.1821	-1.0213	-0.6685	-0.6657	0.2788	0.6486	0.6259	-0.5462	-0.3528	-0.1109	0.1024	-0.421	2.7538	0.4239
0.9246	0.3442	0.9274	1.0014	-0.0512	0.7596	0.7226	-0.7311	0.1451	0.1678	-1.0668	-0.697	-0.7141	0.2418	0.6429	0.5576	-0.4637	-0.3812	-0.0967	0.0341	-0.4182	2.8818	0.4267
0.9473	0.4068	0.9673	1.0526	-0.0228	0.8506	0.7226	-0.7283	0.1764	0.1337	-1.0924	-0.7141	-0.7397	0.2048	0.5974	0.4808	-0.4182	-0.4296	-0.0797	-0.0341	-0.4296	3.0184	0.3926
0.9502	0.4438	1.0014	1.0355	-0.0284	0.8933	0.7254	-0.7425	0.2077	0.1024	-1.1123	-0.7397	-0.7937	0.1593	0.5434	0.3983	-0.3385	-0.4324	-0.0825	-0.0967	-0.4011	3.1777	0.3869
0.9701	0.4922	1.064	1.0384	0.0142	0.9872	0.7482	-0.7055	0.2503	0.091	-1.1209	-0.7567	-0.8222	0.1195	0.4836	0.3072	-0.2503	-0.4523	-0.0825	-0.1622	-0.3926	3.3399	0.3869
0.9843	0.5206	1.0953	1.0469	0.0512	1.0611	0.7624	-0.6828	0.3186	0.0683	-1.1123	-0.7539	-0.8563	0.0853	0.3869	0.1906	-0.1906	-0.4922	-0.0569	-0.2333	-0.3897	3.5447	0.3556
