"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.5701	-0.6106	-1.1315	-1.4556	-0.7871	-2.0026	-1.5106	-1.2154	-2.6537	-1.9997	-1.8753	-3.3048	-2.8794	-0.7958	0.0666	0.0463	1.5598	-1.6611	0.2778	-0.4688	0.0318
-0.5383	-0.5412	-1.0505	-1.4267	-0.7379	-1.9708	-1.528	-1.2097	-2.7087	-2.0634	-1.9129	-3.4351	-3.0183	-0.8363	0.0955	0.0984	1.664	-1.7798	0.3039	-0.5556	0.0376
-0.5701	-0.4949	-1.0273	-1.4383	-0.7061	-1.9621	-1.5627	-1.2704	-2.8245	-2.182	-1.9708	-3.5798	-3.1457	-0.8884	0.1215	0.1563	1.7624	-1.91	0.3328	-0.6916	0.0492
-0.5701	-0.4746	-0.9695	-1.4383	-0.654	-1.9476	-1.5801	-1.2733	-2.8737	-2.2399	-1.9881	-3.6955	-3.2354	-0.9203	0.1765	0.1823	1.8318	-2.0171	0.3936	-0.7842	0.0666
-0.6048	-0.4399	-0.9261	-1.4556	-0.6627	-1.9476	-1.6235	-1.337	-2.9373	-2.3267	-2.0344	-3.7939	-3.3569	-0.9695	0.1736	0.1678	1.9244	-2.1241	0.3965	-0.9203	0.0347
-0.6482	-0.4167	-0.9116	-1.4354	-0.6772	-1.936	-1.6177	-1.3515	-3.0097	-2.3585	-2.0691	-3.8749	-3.4032	-1.0042	0.1736	0.1187	1.9823	-2.1965	0.4138	-1.0679	0.0087
-0.6627	-0.3878	-0.874	-1.4267	-0.6424	-1.9216	-1.6466	-1.3891	-3.0299	-2.3962	-2.1357	-3.9473	-3.4669	-1.0331	0.1505	0.0897	2.0344	-2.3007	0.4138	-1.2068	0.0058
-0.6974	-0.382	-0.8566	-1.4441	-0.6251	-1.8897	-1.6466	-1.3978	-3.0212	-2.4019	-2.1212	-4.0052	-3.4901	-1.0418	0.1592	0.026	2.0634	-2.3817	0.4138	-1.3196	-0.026
-0.7119	-0.3733	-0.8479	-1.4238	-0.6193	-1.8666	-1.6408	-1.4093	-3.0502	-2.4164	-2.1502	-4.0399	-3.4901	-1.0534	0.1158	-0.055	2.0923	-2.4193	0.3733	-1.473	-0.081
-0.7119	-0.356	-0.7814	-1.4035	-0.5846	-1.8174	-1.5916	-1.4267	-3.0415	-2.4193	-2.1675	-4.0283	-3.4727	-1.0447	0.1042	-0.1678	2.0865	-2.4482	0.3125	-1.6061	-0.1215
-0.7206	-0.3675	-0.7871	-1.3775	-0.573	-1.7711	-1.5685	-1.4672	-3.0155	-2.4019	-2.1762	-4.0225	-3.464	-1.0389	0.0666	-0.3068	2.0865	-2.4859	0.2228	-1.745	-0.1968
-0.7408	-0.3588	-0.7206	-1.3746	-0.5643	-1.7161	-1.528	-1.4672	-2.9547	-2.3643	-2.1733	-3.9762	-3.409	-1.0331	0.0318	-0.4051	2.0605	-2.4917	0.1129	-1.8434	-0.246
-0.7437	-0.356	-0.7119	-1.3688	-0.5556	-1.6351	-1.5019	-1.4933	-2.8997	-2.3238	-2.1849	-3.9328	-3.3483	-1.0042	-0.0145	-0.5441	2.0084	-2.5032	0.0029	-1.9389	-0.3444
-0.7466	-0.4023	-0.7148	-1.3804	-0.5701	-1.5974	-1.4875	-1.5106	-2.8534	-2.2659	-2.1965	-3.8778	-3.2759	-0.9897	-0.0839	-0.6627	1.9563	-2.483	-0.1418	-2.0518	-0.4312
-0.7408	-0.4023	-0.6859	-1.3486	-0.5498	-1.4875	-1.4296	-1.5135	-2.7492	-2.182	-2.1617	-3.8026	-3.1573	-0.9289	-0.0955	-0.7611	1.8579	-2.4164	-0.272	-2.0663	-0.5296
-0.7322	-0.4283	-0.6309	-1.3283	-0.5441	-1.4383	-1.3717	-1.5569	-2.6537	-2.1126	-2.1704	-3.7129	-3.0762	-0.8855	-0.1389	-0.8334	1.7624	-2.3759	-0.3994	-2.0952	-0.6367
-0.6888	-0.4225	-0.628	-1.2791	-0.5383	-1.337	-1.3254	-1.5367	-2.5669	-2.0257	-2.1589	-3.6029	-2.9402	-0.819	-0.1678	-0.9087	1.6437	-2.292	-0.5035	-2.0778	-0.7148
-0.6714	-0.4572	-0.6019	-1.2241	-0.5441	-1.2675	-1.2502	-1.5425	-2.4454	-1.9389	-2.1241	-3.4582	-2.8216	-0.7437	-0.1823	-0.9405	1.5019	-2.2399	-0.5788	-2.0228	-0.8219
-0.6048	-0.4428	-0.5412	-1.1547	-0.5383	-1.1662	-1.201	-1.5251	-2.3151	-1.8	-2.1154	-3.3338	-2.6595	-0.6801	-0.1765	-0.9347	1.3659	-2.1357	-0.6656	-1.9592	-0.9087
-0.5817	-0.4775	-0.5296	-1.0707	-0.5614	-1.0997	-1.1199	-1.5338	-2.2023	-1.69	-2.072	-3.2007	-2.5409	-0.6164	-0.1678	-0.9289	1.2328	-2.0373	-0.7437	-1.8608	-0.9839
-0.5035	-0.4833	-0.5151	-0.9955	-0.5643	-1.0129	-1.036	-1.5077	-2.0807	-1.5888	-2.0344	-3.0444	-2.3672	-0.5469	-0.1244	-0.8537	1.0736	-1.9244	-0.7727	-1.7682	-1.065
-0.4399	-0.5093	-0.492	-0.9261	-0.5817	-0.9405	-0.9868	-1.4875	-1.9679	-1.4701	-2.0084	-2.891	-2.1994	-0.4659	-0.11	-0.8277	0.9347	-1.7971	-0.7987	-1.6611	-1.1257
-0.3675	-0.5064	-0.4543	-0.8277	-0.6048	-0.8769	-0.9029	-1.5048	-1.855	-1.3543	-1.9563	-2.729	-2.0518	-0.3936	-0.0347	-0.7466	0.7814	-1.6727	-0.7958	-1.5251	-1.1634
-0.3154	-0.5469	-0.4486	-0.7379	-0.6453	-0.8306	-0.8363	-1.5019	-1.7508	-1.2589	-1.9273	-2.5727	-1.8897	-0.3183	0.0145	-0.683	0.654	-1.5569	-0.8248	-1.4267	-1.2125
-0.2836	-0.5817	-0.4399	-0.6714	-0.654	-0.8074	-0.79	-1.5048	-1.6871	-1.1691	-1.8955	-2.4454	-1.7537	-0.2576	0.055	-0.6048	0.5441	-1.4383	-0.8132	-1.3052	-1.2704
-0.2286	-0.5643	-0.437	-0.5788	-0.7061	-0.7871	-0.7408	-1.499	-1.583	-1.0592	-1.8608	-2.3122	-1.609	-0.217	0.1476	-0.5354	0.4341	-1.3196	-0.7958	-1.201	-1.2994
-0.1707	-0.5701	-0.4225	-0.4891	-0.7437	-0.7379	-0.6511	-1.4759	-1.4933	-0.955	-1.7971	-2.1473	-1.4267	-0.1592	0.2749	-0.4023	0.3183	-1.2068	-0.7842	-1.0823	-1.3023
-0.1418	-0.5759	-0.382	-0.3907	-0.7611	-0.7003	-0.5817	-1.4585	-1.4122	-0.8653	-1.7566	-1.9939	-1.2907	-0.1187	0.3675	-0.2865	0.2315	-1.065	-0.7929	-0.9666	-1.3138
-0.0955	-0.5846	-0.3994	-0.2923	-0.8045	-0.7322	-0.5441	-1.4325	-1.3601	-0.7842	-1.6929	-1.8695	-1.1489	-0.081	0.5209	-0.1621	0.1476	-0.9405	-0.7929	-0.8248	-1.3283
-0.0579	-0.5875	-0.3704	-0.1621	-0.8277	-0.7061	-0.4775	-1.4209	-1.2733	-0.683	-1.6408	-1.6929	-0.9984	-0.0232	0.6772	-0.026	0.055	-0.7987	-0.8248	-0.6888	-1.3341
-0.0666	-0.5933	-0.3704	-0.0579	-0.8566	-0.6945	-0.4138	-1.4325	-1.2154	-0.6367	-1.6148	-1.6003	-0.8884	0	0.8306	0.11	-0.0058	-0.7003	-0.8508	-0.5498	-1.3543
-0.0145	-0.5933	-0.3386	0.0463	-0.8913	-0.6859	-0.3531	-1.3949	-1.1315	-0.518	-1.5367	-1.4556	-0.7437	0.0289	1.0505	0.2228	-0.0608	-0.5846	-0.9	-0.4225	-1.3572
-0.0087	-0.5817	-0.3068	0.165	-0.8769	-0.6569	-0.2923	-1.3486	-1.091	-0.4746	-1.4788	-1.3312	-0.6309	0.0521	1.2502	0.3473	-0.1071	-0.4891	-0.9405	-0.2865	-1.3572
0.0116	-0.5875	-0.2807	0.2865	-0.9029	-0.6396	-0.2402	-1.308	-1.0244	-0.4283	-1.4035	-1.2241	-0.5354	0.0666	1.4151	0.463	-0.1447	-0.3878	-0.9955	-0.1736	-1.3717
0.0608	-0.5383	-0.2402	0.4138	-0.9058	-0.6135	-0.1678	-1.2646	-0.9521	-0.3299	-1.3399	-1.0707	-0.4196	0.081	1.6322	0.5875	-0.1707	-0.2749	-1.0331	-0.0492	-1.3746
0.0839	-0.5122	-0.1765	0.5498	-0.9029	-0.5672	-0.1215	-1.2097	-0.8826	-0.2836	-1.2646	-0.9405	-0.3039	0.0955	1.8376	0.7003	-0.1968	-0.1621	-1.0534	0.055	-1.3572
0.1302	-0.5093	-0.1071	0.6772	-0.874	-0.5383	-0.0608	-1.1691	-0.8045	-0.2315	-1.1923	-0.8219	-0.2026	0.0897	1.9621	0.7727	-0.1881	-0.0897	-1.0679	0.1244	-1.363
0.1707	-0.4659	-0.0405	0.8306	-0.874	-0.4891	-0.0145	-1.1055	-0.7379	-0.1563	-1.1084	-0.7061	-0.0955	0.0839	2.1126	0.845	-0.1736	-0.0232	-1.0418	0.1968	-1.3312
0.2228	-0.3994	0.0434	0.9724	-0.8479	-0.4312	0.081	-1.0071	-0.6569	-0.11	-1.0071	-0.573	0.0116	0.0926	2.2283	0.9145	-0.1678	0.0666	-0.9839	0.2894	-1.2849
0.2778	-0.3907	0.1389	1.1055	-0.7785	-0.3704	0.1389	-0.9463	-0.6019	-0.0723	-0.8942	-0.4399	0.1129	0.0579	2.2978	1.0042	-0.1389	0.1563	-0.9376	0.3704	-1.2328
0.356	-0.3502	0.2315	1.2502	-0.764	-0.3039	0.2344	-0.8595	-0.5209	-0.0058	-0.8132	-0.3299	0.1997	0.0608	2.3238	1.065	-0.1215	0.2315	-0.8971	0.4486	-1.1894
0.4312	-0.2952	0.3502	1.3891	-0.6859	-0.2113	0.3241	-0.7437	-0.4138	0.0752	-0.6888	-0.2084	0.3068	0.0608	2.3267	1.1373	-0.1013	0.3096	-0.8132	0.5383	-1.0997
0.5325	-0.2286	0.5006	1.528	-0.628	-0.1215	0.437	-0.654	-0.3183	0.1563	-0.5354	-0.0695	0.4109	0.055	2.3325	1.1865	-0.1013	0.3733	-0.7698	0.6424	-1.0013
0.6193	-0.191	0.5961	1.6553	-0.5383	-0.0347	0.5064	-0.5498	-0.2489	0.2084	-0.4109	0.0492	0.518	0.0463	2.2486	1.2154	-0.081	0.4746	-0.7148	0.7235	-0.9203
0.7351	-0.136	0.7351	1.7769	-0.4543	0.0608	0.6019	-0.4109	-0.1418	0.2865	-0.2807	0.1881	0.6222	0.0492	2.1473	1.2357	-0.0839	0.5498	-0.7003	0.8277	-0.8334
0.8219	-0.1129	0.8711	1.8666	-0.3849	0.136	0.7061	-0.3068	-0.0666	0.3415	-0.1678	0.3039	0.7148	0.0318	2.0344	1.2328	-0.0637	0.628	-0.6482	0.9203	-0.7466
0.9347	-0.0666	0.9984	1.9708	-0.3154	0.2286	0.7929	-0.1997	0.0116	0.4167	0	0.4254	0.819	0.0376	1.9187	1.2473	-0.0579	0.7293	-0.6164	1.0418	-0.6772
1.0679	-0.0116	1.1402	2.0402	-0.1765	0.3415	0.874	-0.0405	0.0839	0.4804	0.165	0.5846	0.9347	0.0347	1.7826	1.2531	-0.0463	0.7958	-0.5961	1.1199	-0.5961
1.1865	0.0376	1.282	2.0952	-0.081	0.4167	0.9608	0.0723	0.1736	0.5498	0.2691	0.6916	1.0158	0.026	1.6293	1.2241	-0.0174	0.8682	-0.5441	1.2068	-0.5006
1.2878	0.0521	1.3746	2.1241	-0.0174	0.4862	1.0331	0.1852	0.2605	0.6338	0.4254	0.79	1.1084	0	1.447	1.2097	0.0029	0.9261	-0.5556	1.2617	-0.408
1.4209	0.1013	1.499	2.1791	0.0897	0.5759	1.0823	0.3068	0.3357	0.6801	0.5904	0.9376	1.201	0	1.2965	1.1778	0.0174	0.9839	-0.5006	1.3283	-0.3183
1.5077	0.1071	1.6235	2.2052	0.1707	0.6396	1.1489	0.4254	0.4051	0.7408	0.7235	1.0621	1.2907	-0.026	1.1286	1.1344	0.0376	1.0476	-0.4283	1.3601	-0.1881
1.5511	0.1331	1.7016	2.1907	0.246	0.6945	1.1865	0.5093	0.4514	0.7785	0.8537	1.1634	1.3515	-0.0463	0.9434	1.0707	0.0839	1.0881	-0.382	1.3717	-0.0868
1.6003	0.1389	1.7624	2.1733	0.3183	0.7119	1.227	0.6164	0.4949	0.8277	0.9752	1.256	1.418	-0.0752	0.7727	0.9781	0.1389	1.1373	-0.3039	1.3949	0.0058
1.6322	0.11	1.8	2.1473	0.3502	0.7582	1.2617	0.6888	0.5469	0.8595	1.1199	1.3428	1.4759	-0.0926	0.5759	0.8855	0.1823	1.172	-0.2257	1.3891	0.1331
1.638	0.1302	1.8261	2.0836	0.4138	0.7582	1.2473	0.764	0.5759	0.8913	1.2357	1.4383	1.5251	-0.1129	0.3791	0.7582	0.2344	1.1894	-0.1389	1.3833	0.2286
1.6177	0.0926	1.8318	2.0142	0.4457	0.7698	1.2328	0.8306	0.6222	0.9087	1.3196	1.5338	1.5598	-0.1418	0.1447	0.6106	0.2923	1.1923	-0.0492	1.3978	0.327
