"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.2778	-0.081	-0.0752	-0.5064	-0.6656	-0.5383	-0.8797	-0.6424	-1.0852	-1.3283	-0.1765	-1.172	-1.4007	-0.2518	-0.463	0.1794	0.5035	-0.6424	-0.1447	-0.573	0.3994
0.2662	-0.1244	-0.1331	-0.5585	-0.7003	-0.5961	-0.9376	-0.6801	-1.1402	-1.4064	-0.2026	-1.2357	-1.4817	-0.2431	-0.3646	0.2431	0.4949	-0.6482	-0.1997	-0.6019	0.3907
0.2026	-0.1852	-0.1997	-0.573	-0.7669	-0.6569	-0.9637	-0.7408	-1.2589	-1.4614	-0.2344	-1.3428	-1.5598	-0.2431	-0.2981	0.2836	0.4891	-0.6945	-0.2373	-0.6685	0.356
0.1823	-0.2199	-0.2547	-0.6338	-0.8074	-0.7322	-0.9897	-0.7698	-1.2994	-1.5338	-0.2576	-1.4093	-1.6293	-0.246	-0.1765	0.3502	0.4746	-0.6916	-0.2605	-0.6656	0.3357
0.1273	-0.2691	-0.3183	-0.6685	-0.8653	-0.819	-1.0129	-0.8045	-1.3572	-1.5743	-0.2633	-1.4614	-1.6871	-0.2402	-0.0839	0.3965	0.4746	-0.7177	-0.3212	-0.6772	0.3125
0.1244	-0.3386	-0.3675	-0.6685	-0.9145	-0.8855	-1.0418	-0.8624	-1.4354	-1.583	-0.2778	-1.5164	-1.7074	-0.217	0.0318	0.4486	0.4399	-0.7206	-0.3617	-0.6916	0.3125
0.0695	-0.4051	-0.4138	-0.7148	-0.9492	-0.9434	-1.0765	-0.9116	-1.473	-1.6177	-0.327	-1.5801	-1.7335	-0.1997	0.1563	0.5267	0.4051	-0.7119	-0.4109	-0.7148	0.2865
0.0174	-0.4746	-0.4891	-0.7293	-1.0013	-1.0071	-1.0794	-0.9376	-1.5453	-1.6322	-0.3473	-1.6206	-1.7508	-0.1736	0.2547	0.5527	0.3531	-0.7148	-0.4399	-0.6916	0.2749
-0.0434	-0.5556	-0.5556	-0.7553	-1.0534	-1.065	-1.0707	-0.9926	-1.5714	-1.6495	-0.3646	-1.6756	-1.7682	-0.1563	0.327	0.5672	0.2981	-0.7264	-0.518	-0.7061	0.2344
-0.0723	-0.6482	-0.5875	-0.7553	-1.1113	-1.1026	-1.0679	-1.0187	-1.6235	-1.6293	-0.382	-1.6871	-1.7884	-0.11	0.4109	0.5961	0.2199	-0.6685	-0.5527	-0.6974	0.2257
