"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Fix"
63	"BE"	"Pz"	-6.69582491803279	"Black"	"eyes"
63	"BF"	"Pz"	-3.95770967213115	"Black"	"fore"
63	"WE"	"Pz"	-5.79422934426229	"White"	"eyes"
63	"WF"	"Pz"	-5.25470901639344	"White"	"fore"
64	"BE"	"Pz"	-4.26302983606557	"Black"	"eyes"
64	"BF"	"Pz"	-1.97151196721311	"Black"	"fore"
64	"WE"	"Pz"	-1.84244524590164	"White"	"eyes"
64	"WF"	"Pz"	-0.29417037704918	"White"	"fore"
66	"BE"	"Pz"	-2.8163468852459	"Black"	"eyes"
66	"BF"	"Pz"	-2.91284770491803	"Black"	"fore"
66	"WE"	"Pz"	-4.93728180327869	"White"	"eyes"
66	"WF"	"Pz"	-2.09354131147541	"White"	"fore"
1	"BE"	"CPz"	0.808704098360656	"Black"	"eyes"
1	"BF"	"CPz"	2.99995229508197	"Black"	"fore"
1	"WE"	"CPz"	5.27825606557377	"White"	"eyes"
1	"WF"	"CPz"	1.65561852459016	"White"	"fore"
2	"BE"	"CPz"	-2.69488245901639	"Black"	"eyes"
2	"BF"	"CPz"	-2.12853819672131	"Black"	"fore"
2	"WE"	"CPz"	-3.24072950819672	"White"	"eyes"
2	"WF"	"CPz"	-0.982651639344262	"White"	"fore"
3	"BE"	"CPz"	-2.4249837704918	"Black"	"eyes"
3	"BF"	"CPz"	-1.25733852459016	"Black"	"fore"
3	"WE"	"CPz"	-0.298905229508197	"White"	"eyes"
3	"WF"	"CPz"	-0.697742786885246	"White"	"fore"
4	"BE"	"CPz"	1.58898114754098	"Black"	"eyes"
4	"BF"	"CPz"	-0.173398819672131	"Black"	"fore"
4	"WE"	"CPz"	-0.0976272786885246	"White"	"eyes"
4	"WF"	"CPz"	0.995557540983607	"White"	"fore"
5	"BE"	"CPz"	-3.0076331147541	"Black"	"eyes"
5	"BF"	"CPz"	-3.55151983606557	"Black"	"fore"
5	"WE"	"CPz"	-2.81697606557377	"White"	"eyes"
5	"WF"	"CPz"	-1.42261983606557	"White"	"fore"
6	"BE"	"CPz"	-3.51167868852459	"Black"	"eyes"
6	"BF"	"CPz"	-0.0153011196721311	"Black"	"fore"
