"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"	"Coronal"
"Sub9_Black_eyes.avg"	1	"TP8"	"N170"	213	-6.849227	9	"Black"	"eyes"	"right"	"anterior"
"Sub9_Black_eyes.avg"	1	"P7/T5"	"N170"	169	-5.966679	9	"Black"	"eyes"	"left"	"posterior"
"Sub9_Black_fore.avg"	1	"P8/T6"	"N170"	179	-5.81309	9	"Black"	"fore"	"right"	"posterior"
"Sub9_Black_fore.avg"	1	"TP7"	"N170"	188	-8.258057	9	"Black"	"fore"	"left"	"anterior"
"Sub9_Black_fore.avg"	1	"TP8"	"N170"	187	-6.864929	9	"Black"	"fore"	"right"	"anterior"
"Sub9_Black_fore.avg"	1	"P7/T5"	"N170"	187	-7.978312	9	"Black"	"fore"	"left"	"posterior"
"Sub9_White_eyes.avg"	1	"P8/T6"	"N170"	212	-5.142822	9	"White"	"eyes"	"right"	"posterior"
"Sub9_White_eyes.avg"	1	"TP7"	"N170"	201	-8.237915	9	"White"	"eyes"	"left"	"anterior"
"Sub9_White_eyes.avg"	1	"TP8"	"N170"	197	-4.558716	9	"White"	"eyes"	"right"	"anterior"
"Sub9_White_eyes.avg"	1	"P7/T5"	"N170"	204	-8.560181	9	"White"	"eyes"	"left"	"posterior"
"Sub9_White_fore.avg"	1	"P8/T6"	"N170"	196	-5.308151	9	"White"	"fore"	"right"	"posterior"
"Sub9_White_fore.avg"	1	"TP7"	"N170"	194	-2.412796	9	"White"	"fore"	"left"	"anterior"
"Sub9_White_fore.avg"	1	"TP8"	"N170"	197	-5.045891	9	"White"	"fore"	"right"	"anterior"
"Sub9_White_fore.avg"	1	"P7/T5"	"N170"	165	-3.341198	9	"White"	"fore"	"left"	"posterior"
"Sub10_Black_eyes.avg"	1	"P8/T6"	"N170"	158	-8.326902	10	"Black"	"eyes"	"right"	"posterior"
"Sub10_Black_eyes.avg"	1	"TP7"	"N170"	184	-0.071121	10	"Black"	"eyes"	"left"	"anterior"
"Sub10_Black_eyes.avg"	1	"TP8"	"N170"	179	-3.945819	10	"Black"	"eyes"	"right"	"anterior"
"Sub10_Black_eyes.avg"	1	"P7/T5"	"N170"	169	-3.018395	10	"Black"	"eyes"	"left"	"posterior"
"Sub10_Black_fore.avg"	1	"P8/T6"	"N170"	159	-6.021868	10	"Black"	"fore"	"right"	"posterior"
"Sub10_Black_fore.avg"	1	"TP7"	"N170"	202	-1.463505	10	"Black"	"fore"	"left"	"anterior"
"Sub10_Black_fore.avg"	1	"TP8"	"N170"	168	-4.231503	10	"Black"	"fore"	"right"	"anterior"
"Sub10_Black_fore.avg"	1	"P7/T5"	"N170"	169	-4.131384	10	"Black"	"fore"	"left"	"posterior"
"Sub10_White_eyes.avg"	1	"P8/T6"	"N170"	164	-6.468976	10	"White"	"eyes"	"right"	"posterior"
"Sub10_White_eyes.avg"	1	"TP7"	"N170"	179	-0.795208	10	"White"	"eyes"	"left"	"anterior"
"Sub10_White_eyes.avg"	1	"TP8"	"N170"	156	-3.777926	10	"White"	"eyes"	"right"	"anterior"
"Sub10_White_eyes.avg"	1	"P7/T5"	"N170"	172	-2.809368	10	"White"	"eyes"	"left"	"posterior"
"Sub10_White_fore.avg"	1	"P8/T6"	"N170"	178	-6.686892	10	"White"	"fore"	"right"	"posterior"
"Sub10_White_fore.avg"	1	"TP7"	"N170"	184	-2.352851	10	"White"	"fore"	"left"	"anterior"
"Sub10_White_fore.avg"	1	"TP8"	"N170"	186	-2.781459	10	"White"	"fore"	"right"	"anterior"
"Sub10_White_fore.avg"	1	"P7/T5"	"N170"	176	-4.942485	10	"White"	"fore"	"left"	"posterior"
"Sub11_Black_eyes.avg"	1	"P8/T6"	"N170"	162	-3.762817	11	"Black"	"eyes"	"right"	"posterior"
"Sub11_Black_eyes.avg"	1	"TP7"	"N170"	169	-2.7771	11	"Black"	"eyes"	"left"	"anterior"
"Sub11_Black_eyes.avg"	1	"TP8"	"N170"	158	-2.926636	11	"Black"	"eyes"	"right"	"anterior"
"Sub11_Black_eyes.avg"	1	"P7/T5"	"N170"	168	-3.097534	11	"Black"	"eyes"	"left"	"posterior"
"Sub11_Black_fore.avg"	1	"P8/T6"	"N170"	170	-3.309819	11	"Black"	"fore"	"right"	"posterior"
"Sub11_Black_fore.avg"	1	"TP7"	"N170"	176	-2.223232	11	"Black"	"fore"	"left"	"anterior"
"Sub11_Black_fore.avg"	1	"TP8"	"N170"	166	-0.883404	11	"Black"	"fore"	"right"	"anterior"
"Sub11_Black_fore.avg"	1	"P7/T5"	"N170"	175	-2.762109	11	"Black"	"fore"	"left"	"posterior"
"Sub11_White_eyes.avg"	1	"P8/T6"	"N170"	171	-2.469338	11	"White"	"eyes"	"right"	"posterior"
"Sub11_White_eyes.avg"	1	"TP7"	"N170"	177	-2.702616	11	"White"	"eyes"	"left"	"anterior"
"Sub11_White_eyes.avg"	1	"TP8"	"N170"	209	-1.70976	11	"White"	"eyes"	"right"	"anterior"
"Sub11_White_eyes.avg"	1	"P7/T5"	"N170"	175	-2.805031	11	"White"	"eyes"	"left"	"posterior"
"Sub11_White_fore.avg"	1	"P8/T6"	"N170"	175	-1.780882	11	"White"	"fore"	"right"	"posterior"
"Sub11_White_fore.avg"	1	"TP7"	"N170"	185	0.341383	11	"White"	"fore"	"left"	"anterior"
"Sub11_White_fore.avg"	1	"TP8"	"N170"	183	-1.962953	11	"White"	"fore"	"right"	"anterior"
"Sub11_White_fore.avg"	1	"P7/T5"	"N170"	175	-0.349918	11	"White"	"fore"	"left"	"posterior"
"Sub12_Black_eyes.avg"	1	"P8/T6"	"N170"	168	-5.05191	12	"Black"	"eyes"	"right"	"posterior"
"Sub12_Black_eyes.avg"	1	"TP7"	"N170"	142	-2.845139	12	"Black"	"eyes"	"left"	"anterior"
"Sub12_Black_eyes.avg"	1	"TP8"	"N170"	174	-3.389953	12	"Black"	"eyes"	"right"	"anterior"
"Sub12_Black_eyes.avg"	1	"P7/T5"	"N170"	148	-3.948524	12	"Black"	"eyes"	"left"	"posterior"
"Sub12_Black_fore.avg"	1	"P8/T6"	"N170"	155	-3.304653	12	"Black"	"fore"	"right"	"posterior"
"Sub12_Black_fore.avg"	1	"TP7"	"N170"	145	0.341197	12	"Black"	"fore"	"left"	"anterior"
"Sub12_Black_fore.avg"	1	"TP8"	"N170"	158	-1.400557	12	"Black"	"fore"	"right"	"anterior"
"Sub12_Black_fore.avg"	1	"P7/T5"	"N170"	148	-0.476024	12	"Black"	"fore"	"left"	"posterior"
"Sub12_White_eyes.avg"	1	"P8/T6"	"N170"	164	-3.791684	12	"White"	"eyes"	"right"	"posterior"
"Sub12_White_eyes.avg"	1	"TP7"	"N170"	141	-1.051105	12	"White"	"eyes"	"left"	"anterior"
"Sub12_White_eyes.avg"	1	"TP8"	"N170"	169	-2.01416	12	"White"	"eyes"	"right"	"anterior"
"Sub12_White_eyes.avg"	1	"P7/T5"	"N170"	151	-0.789705	12	"White"	"eyes"	"left"	"posterior"
"Sub12_White_fore.avg"	1	"P8/T6"	"N170"	165	-3.779348	12	"White"	"fore"	"right"	"posterior"
"Sub12_White_fore.avg"	1	"TP7"	"N170"	140	0.704956	12	"White"	"fore"	"left"	"anterior"
"Sub12_White_fore.avg"	1	"TP8"	"N170"	167	-1.381938	12	"White"	"fore"	"right"	"anterior"
"Sub12_White_fore.avg"	1	"P7/T5"	"N170"	163	0.808461	12	"White"	"fore"	"left"	"posterior"
"Sub13_Black_eyes.avg"	1	"P8/T6"	"N170"	157	-5.541834	13	"Black"	"eyes"	"right"	"posterior"
"Sub13_Black_eyes.avg"	1	"TP7"	"N170"	152	-4.607102	13	"Black"	"eyes"	"left"	"anterior"
"Sub13_Black_eyes.avg"	1	"TP8"	"N170"	158	-3.15436	13	"Black"	"eyes"	"right"	"anterior"
"Sub13_Black_eyes.avg"	1	"P7/T5"	"N170"	160	-6.187176	13	"Black"	"eyes"	"left"	"posterior"
"Sub13_Black_fore.avg"	1	"P8/T6"	"N170"	145	-3.756293	13	"Black"	"fore"	"right"	"posterior"
"Sub13_Black_fore.avg"	1	"TP7"	"N170"	176	-3.27301	13	"Black"	"fore"	"left"	"anterior"
"Sub13_Black_fore.avg"	1	"TP8"	"N170"	143	-1.924449	13	"Black"	"fore"	"right"	"anterior"
"Sub13_Black_fore.avg"	1	"P7/T5"	"N170"	176	-4.236682	13	"Black"	"fore"	"left"	"posterior"
"Sub13_White_eyes.avg"	1	"P8/T6"	"N170"	153	-5.560598	13	"White"	"eyes"	"right"	"posterior"
"Sub13_White_eyes.avg"	1	"TP7"	"N170"	152	-3.565388	13	"White"	"eyes"	"left"	"anterior"
"Sub13_White_eyes.avg"	1	"TP8"	"N170"	153	-2.677425	13	"White"	"eyes"	"right"	"anterior"
"Sub13_White_eyes.avg"	1	"P7/T5"	"N170"	157	-5.639107	13	"White"	"eyes"	"left"	"posterior"
"Sub13_White_fore.avg"	1	"P8/T6"	"N170"	153	-4.705397	13	"White"	"fore"	"right"	"posterior"
"Sub13_White_fore.avg"	1	"TP7"	"N170"	172	-3.217535	13	"White"	"fore"	"left"	"anterior"
"Sub13_White_fore.avg"	1	"TP8"	"N170"	159	-2.961498	13	"White"	"fore"	"right"	"anterior"
"Sub13_White_fore.avg"	1	"P7/T5"	"N170"	170	-4.648499	13	"White"	"fore"	"left"	"posterior"
"Sub14_Black_eyes.avg"	1	"P8/T6"	"N170"	154	-2.241064	14	"Black"	"eyes"	"right"	"posterior"
"Sub14_Black_eyes.avg"	1	"TP7"	"N170"	178	4.304956	14	"Black"	"eyes"	"left"	"anterior"
"Sub14_Black_eyes.avg"	1	"TP8"	"N170"	151	-1.644276	14	"Black"	"eyes"	"right"	"anterior"
"Sub14_Black_eyes.avg"	1	"P7/T5"	"N170"	176	5.82801	14	"Black"	"eyes"	"left"	"posterior"
"Sub14_Black_fore.avg"	1	"P8/T6"	"N170"	155	-0.865343	14	"Black"	"fore"	"right"	"posterior"
"Sub14_Black_fore.avg"	1	"TP7"	"N170"	194	5.296495	14	"Black"	"fore"	"left"	"anterior"
"Sub14_Black_fore.avg"	1	"TP8"	"N170"	157	-1.357693	14	"Black"	"fore"	"right"	"anterior"
"Sub14_Black_fore.avg"	1	"P7/T5"	"N170"	189	8.325195	14	"Black"	"fore"	"left"	"posterior"
"Sub14_White_eyes.avg"	1	"P8/T6"	"N170"	153	0.671387	14	"White"	"eyes"	"right"	"posterior"
"Sub14_White_eyes.avg"	1	"TP7"	"N170"	177	5.829875	14	"White"	"eyes"	"left"	"anterior"
"Sub14_White_eyes.avg"	1	"TP8"	"N170"	156	0.768365	14	"White"	"eyes"	"right"	"anterior"
"Sub14_White_eyes.avg"	1	"P7/T5"	"N170"	174	7.885064	14	"White"	"eyes"	"left"	"posterior"
"Sub14_White_fore.avg"	1	"P8/T6"	"N170"	152	-0.132135	14	"White"	"fore"	"right"	"posterior"
"Sub14_White_fore.avg"	1	"TP7"	"N170"	214	5.381807	14	"White"	"fore"	"left"	"anterior"
"Sub14_White_fore.avg"	1	"TP8"	"N170"	161	0.428545	14	"White"	"fore"	"right"	"anterior"
"Sub14_White_fore.avg"	1	"P7/T5"	"N170"	183	8.506613	14	"White"	"fore"	"left"	"posterior"
"Sub15_Black_eyes.avg"	1	"P8/T6"	"N170"	170	-1.469395	15	"Black"	"eyes"	"right"	"posterior"
"Sub15_Black_eyes.avg"	1	"TP7"	"N170"	130	-0.055949	15	"Black"	"eyes"	"left"	"anterior"
"Sub15_Black_eyes.avg"	1	"TP8"	"N170"	183	-2.797445	15	"Black"	"eyes"	"right"	"anterior"
"Sub15_Black_eyes.avg"	1	"P7/T5"	"N170"	170	-0.998246	15	"Black"	"eyes"	"left"	"posterior"
